Fact,"Des Moines city, Iowa","Value Note for Des Moines city, Iowa"
"Population estimates, July 1, 2019,  (V2019)","214,237",
"Population estimates base, April 1, 2010,  (V2019)","204,220",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",4.90%,
"Population, Census, April 1, 2010","203,433",
"Persons under 5 years, percent",6.90%,
"Persons under 18 years, percent",24.50%,
"Persons 65 years and over, percent",11.70%,
"Female persons, percent",50.80%,
"White alone, percent",75.40%,
"Black or African American alone, percent",11.30%,
"American Indian and Alaska Native alone, percent",0.40%,
"Asian alone, percent",6.50%,
"Native Hawaiian and Other Pacific Islander alone, percent",0.10%,
"Two or More Races, percent",4.00%,
"Hispanic or Latino, percent",13.30%,
"White alone, not Hispanic or Latino, percent",65.40%,
"Veterans, 2014-2018","10,147",
"Foreign born persons, percent, 2014-2018",12.60%,
"Housing units,  July 1, 2019,  (V2019)",X,
"Owner-occupied housing unit rate, 2014-2018",59.70%,
"Median value of owner-occupied housing units, 2014-2018","$127,200 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018","$1,204 ",
"Median selected monthly owner costs -without a mortgage, 2014-2018",$498 ,
"Median gross rent, 2014-2018",$822 ,
"Building permits, 2019",X,
"Households, 2014-2018","84,140",
"Persons per household, 2014-2018",2.5,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",79.80%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",18.30%,
"Households with a computer, percent, 2014-2018",89.00%,
"Households with a broadband Internet subscription, percent, 2014-2018",77.50%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",86.10%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",25.80%,
"With a disability, under age 65 years, percent, 2014-2018",10.80%,
"Persons  without health insurance, under age 65 years, percent",8.20%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",70.20%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",65.90%,
"Total accommodation and food services sales, 2012 ($1,000)","464,153",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","2,758,297",
"Total manufacturers shipments, 2012 ($1,000)","4,837,810",
"Total merchant wholesaler sales, 2012 ($1,000)","3,586,516",
"Total retail sales, 2012 ($1,000)","2,190,058",
"Total retail sales per capita, 2012","$10,596 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",19,
"Median household income (in 2018 dollars), 2014-2018","$52,251 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","$27,325 ",
"Persons in poverty, percent",17.20%,
"Total employer establishments, 2018",X,
"Total employment, 2018",X,
"Total annual payroll, 2018 ($1,000)",X,
"Total employment, percent change, 2017-2018",X,
"Total nonemployer establishments, 2018",X,
"All firms, 2012","16,543",
"Men-owned firms, 2012","8,529",
"Women-owned firms, 2012","5,681",
"Minority-owned firms, 2012","3,000",
"Nonminority-owned firms, 2012","12,427",
"Veteran-owned firms, 2012","1,581",
"Nonveteran-owned firms, 2012","13,561",
"Population per square mile, 2010","2,515.60",
"Land area in square miles, 2010",80.87,
